PRODUCT NAME,TYPE,SUB-TYPES,LIFESTYLE,DEALS,ORIGINS CERTIFIED,CBD,FARM,Cannabinoid ratio,PRICE(1),WEIGHT (AMOUNT)(1),WEIGHT (TYPE)(1),PRICE(2),WEIGHT (AMOUNT)(2),WEIGHT (TYPE)(2),PRICE(3),WEIGHT (AMOUNT)(3),WEIGHT (TYPE)(3),PRICE(4),WEIGHT (AMOUNT)(4),WEIGHT (TYPE)(4),PRICE(5),WEIGHT (AMOUNT)(5),WEIGHT (TYPE)(5),PRICE(6),WEIGHT (AMOUNT)(6),WEIGHT (TYPE)(6),PRODUCT DESCRIPTION
Jesus,Flower,,SOCIAL,DEALS,,,Kiona Reserve,9:01,12,1,G,40,3.5,G,75,7,G,99,14,G,,,,,,,Seattle native with a rich pungent smell and sweet lemons and herb. Lineage: White Widow and Blue Dynamite
Lemon Cheesecake,Flower,,SOCIAL,,,,BellaDonna,9:01,30,3.5,G,,,,,,,,,,,,,,,,Fragrant bud with a captivating citrus aroma followed by a sweet and smooth taste. A great strain for relaxed and creative. Lineage: Unknown
Lime Skunk,Flower,,SOCIAL,,,,Fire Bros,11:01,38,2,G,60,3.5,G,110,7,G,,,,,,,,,,"Not to be confused with Lime Green Skunk, This Lime skunk is a sativa-dominant strain that carries the fresh aroma of limes. Connoisseur-grade flower is unparalleled. Lineage: Lemon Skunk/Green Ribbon"
Lemon Skunk,Flower,,SOCIAL,,,,House of Cultivar,8:01,17,1,G,55,3.5,G,210,14,G,,,,,,,,,,This zesty lemon strain with shake you up and leave you happy and energetic. Skunky citrus flavor. Lineage: Skunk Parents
Maui Wowie,Flower,,ADVENTUROUS,,,,Vashon Island Organics,22:01,54,3.5,G,365,28,G,,,,,,,,,,,,,"Since its beginnings in the island's volcanic soil, Maui Waui has spread across the world to bless us with its sweet pineapple flavors and high-energy euphoria"
Maui Wowie,Flower,,SELF DISCOVERY,,,,Cactus Blossom ,53:01:00,10,1,G,20,2,G,35,3.5,G,,,,,,,,,,"Since its beginnings in the island's volcanic soil, Maui Waui has spread across the world to bless us with its sweet pineapple flavors and high-energy euphoria"
Vietnam Black,Flower,,SOCIAL,,,,Kiona,13:01,10,1,G,38,3.5,G,68,7,G,,,,,,,,,,70/30 hybrid with Sativa being it’s dominant. This delish choice is sure to please. Lineage: White Strawberry/BluePower 
Chem Cookies,Flower,,SELF DISCOVERY,,,,The High Point,30:01:00,25,2,G,42,3.5,G,80,7,G,,,,,,,,,,"When smoked, this strain carries a metallic flavor and hints of citrus. Leaves you with a giggly silly feeling that is perfect for a social high. Lineage: Girls Scout/Chemdawg"
Dirty White Girl,Flower,,SELF DISCOVERY,,ORIGINS CERTIFIED,,EverGrow NW,24:01:00,14,1,G,45,3.5,G,80,7,G,150,14,G,,,,,,,
Fire OG,Flower,,ADVENTUROUS,,,,House of Cultivar,13:01,17,1,G,55,3.5,G,105,7,G,210,14,G,,,,,,,Known for being one of the strongest of the OG strain. Smells similar to strong lemon and covered in nuggets with red hair - hence the fire. Lineage: Kush and San Fernando Valley OG Kush
Fire Cracker,Flower,,SELF DISCOVERY,,,,BellaDonna,27:01:00,50,3.5,G,,,,,,,,,,,,,,,,
Golden Gage,Flower,,SELF DISCOVERY,,,,House of Cultivar ,72:01:00,17,1,G,58,3.5,G,105,7,G,200,14,G,,,,,,,Wooly Sativa-dominant hybrid strain plays well with outside activity whether it be at a club or out to breakfast! Lineage: Golden Goat/Joseph OG
Golden Goat,Flower,,SOCIAL,,,,Origins,7:01,45,3.5,G,,,,,,,,,,,,,,,,"The strain is often light green and pink in color, which is indicative of its Hawaiian sativa side. Combination of sweet, sour, and spicy, with a tropical fruit flavor. Lineage: Hawaiian Romulan/Island Sweet SKunk"
Golden Pineapple,Flower,,SOCIAL,,,,Origins ,10:01,45,3.5,G,150,14,G,,,,,,,,,,,,,"Origins Golden Pineapple is a hybrid that delivers fruity, tropical flavors. Lineage: Golden Goat/Pineapple Kush"
Harlequin,Flower,,HOLISTIC,,,,Vashon Island Organics,2:01,54,1,G,,,,,,,,,,,,,,,,75/25 Sativa-dominant strain renowned for it's eliable expression of CBD. Earthy musk and sweet mango draws you in and relieves without being too intoxicated.  Lineage: Colombian Gold/Thai/Swiss Landrace
Kosher Kush,Flower,,PARTY GO'ER,,,,Seattle Green Bud,23:01,17,1,G,52,3.5,G,90,7,G,,,,,,,,,,Winner of several awards this strain produces high levels of THC. Rich earth and fruit is what you will smell. Considered to be one of the tasiest cannabis around. Lineage: OGKush Strains
Lemon Diesel,Flower,,SELF DISCOVERY,,,,Origins,33:01:00,52,3.5,G,185,14,G,,,,,,,,,,,,,"Smooth, creamy smoke is accented by flavors of lemons and diesel. Lineage: OG Kush/Sour Diesel."
Orange Crush,Flower,,SELF DISCOVERY,,,,Evergrow Northwest,62:01:00,45,3.5,G,80,7,G,150,14,G,,,,,,,,,,"Sativa-dominant strain, offering a sweet flavor and aroma. This wonderful blend is a hybrid that keeps you perfectly blanced in a world of happy, uplifted and euphoric. Lineage: Unknown"
Strawberry Diesel,Flower,,SELF DISCOVERY,,,,Mj Productions,107:01:00,30,2,G,48,3.5,G,290,28,G,,,,,,,,,,"Flavors are just like the name with Strawberry and diesel leaving you with a sweetness. This hybrid is sure to help you discover yourself with happy, relaxing and focused effects. Lineage: Strawberry Cough/NYC Diesel"
Tahoe OG,Flower,,SELF DISCOVERY,,,,The High Point,39:01:00,25,2,G,42,3.5,G,80,7,G,,,,,,,,,,"Strong and fast-acting, this strain has an earthy, lemon taste and features a euphoric indica effect. Lineage: OG Kush/SFV OG"
SinMint Cookies BB,Flower,,PARTY GO'ER,,,,Origins,23:01,30,3.5,G,,,,,,,,,,,,,,,,Indica dominant hybrid is an after hours treat with it's shades of purple and sweet berry aroma. Lineage: Short Blueberry/Afghani
24k,Flower,,PARTY GO'ER,,,,Seattle Green Bud,27:01:00,17,1,G,52,3.5,G,90,7,G,,,,,,,,,,24k comes from 24k Gold and it's a 60% Indica hybrid that has an orange aroma and a citrus flavor with smoked. Lineage: Tangie/Kosher Kush
Oregon Diesel ,Flower,,PARTY GO'ER,,ORIGINS CERTIFIED,,Triumph ,42:01:00,50,3.5,G,90,7,G,175,14,G,,,,,,,,,,"Indica dominant hybrid that delivers a flavor of diesel, earth tones and grape. Said to deliver a happy and stress combating effect. Lineage: NYC Diesel/Blackberry"
9lb Hammer,Flower,,PARTY GO'ER,,,,Origins ,50:01:00,30,3.5,G,,,,,,,,,,,,,,,,"Special quality, made just for Origins. This strain is perfect for melting the troubles of the day away! Indica dominates"
Chem 91,Flower,,SELF DISCOVERY,,,,Seattle Green Bud,28:01:00,17,1,G,52,3.5,G,90,7,G,,,,,,,,,,"Special cross put together by House of Cultivar.  Powerful high, euphoric"
Cultivar Cookies,Flower,,PARTY GO'ER,,,,House of Cultivar,51:01:00,17,1,G,55,3.5,G,,,,,,,,,,,,,"Special cross put together by House of Cultivar.  Powerful high, euphoric"
Frankenstein ,Flower,,PARTY GO'ER,,,,The High Point,55:01:00,25,2,G,42,3.5,G,80,7,G,30,3.5,G,,,,,,,Specially made for Origins. Heavy Indica strain whose parents are unknown. Packs a punch – watch out! Lineage: Unknown
Banana Peel,Flower,,PARTY GO'ER,,,,Triumph,41:01:00,14,1,G,45,3.5,G,90,7,G,,,,,,,,,,Banana peel is a hybrid cannabis strain bred by Illuminati seeds. Both parents bring both flavor and potency to the mix. Lineage: Banana OG/ Abusive OG/ West Coast Dog 
Blue Mystic,Flower,,PARTY GO'ER,,,,Mj Productions,97:01:00,30,2,G,48,3.5,G,290,28,G,,,,,,,,,,Light blue coloring Indica strain. Distinctive blueberry aroma but very subtle. Lineage: Blueberry Skunk/Northern Lights
Blueberry Pancakes,Flower,,PARTY GO'ER,,,,Fire Bros,46:01:00,38,2,G,60,3.5,G,110,7,G,,,,,,,,,,This strain actually tastes like it's name! Purple buds. Lineage: DJ Short Blueberry/Unknown
Cherry Pie,Flower,,PARTY GO'ER,,,,House of Cultivar ,30:01:00,58,3.5,G,105,7,G,200,14,G,17,1,G,,,,,,,An uplifting and energetic sativea-dominant hybrid. Equally great for both chore time and happy hour. Lineage: Granddaddy Purple/Durban Poison
Cultivar Cookies,Flower,,PARTY GO'ER,,,,House of Cultivar,57:01:00,17,1,G,55,3.5,G,,,,,,,,,,,,,"Special cross put together by House of Cultivar.  Powerful high, euphoric"
Gorilla Glue ,Flower,,ADVENTUROUS,,,,Kiona Reserve,26:01:00,12,1,G,40,3.5,G,,,,,,,,,,,,,The ever-popular Gorilla Glue continues to be a best seller. Potent and flavorful sister strain to Gorilla Glue #4. Lineage: Chems Sister/Chocolate Diesel
Oregon Diesel ,Flower,,PARTY GO'ER,,,,Triumph ,42:01:00,95,7,G,175,14,G,,,,,,,,,,,,,"Indica dominant hybrid that delivers a flavor of diesel, earth tones and grape. Said to deliver a happy and stress combating effect. Lineage: NYC Diesel/Blackberry"
Sweet Baby Jane,Flower,,PARTY GO'ER,,,,Vashon Island Organics,42:01:00,54,3.5,G,54,3.5,G,365,28,G,,,,,,,,,,Indica dominant strain of the highest caliber. Enjoy this citrus profile. Lineage: Unknown
Velvet Kush,Flower,,PARTY GO'ER,,,,Mj Productions,238:01:00,30,2,G,48,3.5,G,290,28,G,,,,,,,,,,Evenly balanced hybrid with a sweet tea taste that tickles your tongue and a cheesy aftertaste! Known as a creative strain. Lineage: Velvet Kush/Silver Kush
White Romulan,Flower,,PARTY GO'ER,,,,Thsea,36:01:00,14,1,G,48,3.5,G,95,7,G,290,28,G,,,,,,,"Evenly balanced hybrid of indica/sativa. Tastes of sweet and spicy fruit with nice earthly finish. This strain will leave you focused, happy, and relaxed. Lineage: unknown"
White Widow ,Flower,,PARTY GO'ER,,,,Seattle Green Bud,21:01,17,1,G,52,3.5,G,90,7,G,,,,,,,,,,Lime green tone and funky undertones. Lineage: Trueberry/Abba Zabba
Alien Orange Cookies,Flower,,SOCIAL,,,,House of Cultivar,7:01,17,1,G,55,3.5,G,,,,,,,,,,,,,"A flavor-packed strain, Orange Cookies expresses itself with a strong aroma of sweet citrus that closely resembles a fresh tangerine right off the tree.Lineage: Orange Juice & Girl Scout Cookies"
Aliens on Moonshine,Flower,,HOLISTIC,,,,The High Point,2:01,20,2,G,40,3.5,G,,,,,,,,,,,,,Indica Dominant high CBD strain displays an herbaceous scent with a crisp menthol taste. Lineage: unknown
Charolette's Web,Flower,,HOLISTIC,,,,The High Point,3:01,12,1,G,40,3.5,G,,,,,,,,,,,,,"Often used in medical for its high-CBD content, this Sativa is perfect for our Holistic lifestyle. Flavors are earthy, woody and hints of pine.  Lineage: Charlotte’s Web."
Critical Mass,Flower,,HOLISTIC,,,,Dream City,2:01,12,1,G,38,3.5,G,70,7,G,128,14,G,,,,,,,Critical Mass is a combination of Afghani and Skunk #1 that originated from then breeder Mr. Nice Seed Bank Lineage: Afghani/Skunk
Medi Haze,Flower,,HOLISTIC,,,,Dream City,2:01,12,1,G,12,1,G,38,3.5,G,10,1,G,,,,,,,"Sativa-dominant hybrid. Created to provide a high CBD and other Cannabinoids beyond THC. Lineage - Super Silver Haze, Neville's Haze"
Carnival Kush,Flower,,AFTER HOURS,,,,Harmony Farms ,19:01,32,2,G,52,3.5,G,95,7,G,190,14,G,365,28,G,,,,"Exclusive to Harmony Farms, This Indica-Dominant strain is very popular. It's Sugary and berry-like undertones mix amazingly with its signature skunky and kush like aromas. "
Cheesequake,Flower,,AFTER HOURS,,,,SPP,20:01,48,3.5,G,,,,,,,,,,,,,,,,This relaxed and carefree hybrid comprised of cheese/querkle is sure to deliver the chill your seeking after a long day. lineage: Cheese/Querkle
Chem Dawg,Flower,,AFTER HOURS,,,,Dream City,27:01:00,12,1,G,38,3.5,G,,,,,,,,,,,,,"Chemdawg has developed quite the name for itself over the years. Between it's mysterious origin, ambiguous genetics, and the plethora of successful crosses the strain has produced, Chemdawg has practically secured itselfa permanent place in the cannabis hall of fame. Lineage: Nepalese / Thai"
Cherry Pie X Mendo,Flower,,AFTER HOURS,,,,House of Cultivar ,9:01,17,1,G,55,3.5,G,110,7,G,210,14,G,,,,,,,California strain with classic cherry pie flavors and cross from Mendocino.
Critical Kush,Flower,,AFTER HOURS,,,,Seattle Green Bud,21:01,95,7,G,,,,,,,,,,,,,,,,Aromatic notes of earthiness and spice usher in a calming sensation helping you relax. Perfect for after-hours. Lineage: Critical Mass/OG Kush
God's Gift,Flower,,PARTY GO'ER,,,,Fire Bros,39:01:00,38,2,G,60,3.5,G,110,7,G,,,,,,,,,,"This popular California strain features flavors of grape, citrus and hash. Lineage: Grandaddy Purple/OG Kush"
GG#4,Flower,,AFTER HOURS,DEALS,,,Kiona,12:01,10,1,G,38,3.5,G,68,7,G,99,14,G,225,28,G,,,,"Multi award-winning bud, this strain provides a heavy-handed high. Lineage: Chems Sisters/SourDubb/Chocolate Diesel
"
Monolith,Flower,,AFTER HOURS,,,,Kiona,9:01,38,3.5,G,10,1,G,,,,,,,,,,,,,Pungent earthy herb laced with sticky sweet terpenes. Lineage: Afghan roots/unknown
Peppermint Cookies,Flower,,AFTER HOURS,,,,Gold Leaf,25:01:00,38,2,G,215,14,G,15,1,G,,,,,,,,,,"Gold Leaf's award winning peppermint cookies is a strain that many dont move from, with the most loyal following behind it, you're assured to have all expectations exceeded. Place your nose in this cookie jar and you'll be sure to experience sweet honey, and roasted coffee. Your pallate will distinguish menthol followed by a nutty exhale. Lineage: Bred in-house and kept under tight lips."
Pineapple Chunk,Flower,,ADVENTUROUS,,,,Cactus Blossom ,39:01:00,10,1,G,20,2,G,35,3.5,G,,,,,,,,,,"Indica-leaning hybrid that will induce heavy body effects and fast paced head buzz. Notes of tangy skunk, earthy cheese and sweet pineapple. Lineage: Cheese Skunk #1/Pineapple"
Pineapple super silver haze,Flower,,SOCIAL,,,,Fire Bros,6:01,38,2,G,60,3.5,G,110,7,G,,,,,,,,,,"Aroma delivers a tropical mixture of mango, pineapple and oranges. The sativa in it is a perfect pick-me-up with creative effects. Lineage: Super Silver Haze/Pineapple Express"
Plushberry,Flower,,AFTER HOURS,,,,Cactus Blossom ,21:01,10,1,G,20,2,G,35,3.5,G,,,,,,,,,,"With an 80% Indica blend, this strain promtes deep relaxtion making it a perfect choice for after hour enjoyment. Aromatic berry scent. Lineage: Black Cherry Soda/Space Queen"
Pure Kush Bubblegum,Flower,,AFTER HOURS,,,,House of Cultivar ,20:01,17,1,G,58,3.5,G,105,7,G,,,,,,,,,,A fully relaxing sativa-dominant hybrid. Perfect for unwinding after a long day and having a good laugh. Lineage: Grandaddy Purple/Bubblegum
Purple Arrow,Flower,,AFTER HOURS,,,,Harmony Farms,8:01,32,2,G,52,3.5,G,95,7,G,190,14,G,,,,,,,Potent earthy Indica with a sweet piney finish.  Great for a mellow night to unwind. Lineage: Unknown. 
Purple Diesel,Flower,,AFTER HOURS,,,,Green Barn Farms,13:01,10,1,G,35,3.5,G,70,7,G,,,,,,,,,,"Purple Diesel features a sour, fuel-like aroma. Lineage: pre 98 Bubba Kush/ Sour Diesel"
RudeBoi OG,Flower,,AFTER HOURS,,,,Gold Leaf,17:01,38,2,G,,,,,,,,,,,,,,,,"Bred by Archive Seeds, RudeBoi OG is an indica-dominant hybrid cannabis strain with an earthy nutty flavor. Lineage: Face off OG/ Irene OG"
Shishkaberry,Flower,,AFTER HOURS,,,,Seattle Green Bud,17:01,17,1,G,52,3.5,G,90,7,G,,,,,,,,,,Indica dominant hybrid is an after hours treat with it's shades of purple and sweet berry aroma. Lineage: Short Blueberry/Afghani
Blue Dream ,Flower,,ADVENTUROUS,,,,Lifted,20:01,48,3.5,G,,,,,,,,,,,,,,,,A top choice strain of cannabis has now made it's way to WA state. Intense berry flavor followed by a cerebral and relaxing high. This sativa dominant hybrid is sure to please on any activity. Lineage: Unknown
Snoops Dream,Flower,,AFTER HOURS,,,,Lucky Devil Farms,7:01,10,1,G,35,3.5,G,125,14,G,225,28,G,,,,,,,One of Snoops favorites. Blueberry flavor with pine and sweet finishes. Lineage: Blue Dream/Master Kush
Strawberry Banana,Flower,,PARTY GO'ER,,,,Seattle Green Bud,32:01:00,52,3.5,G,90,7,G,,,,,,,,,,,,,Sweet fruity flavor that earned its name. This hybrid will sharpen creativity and sensory awareness making it great for the party go'er. Lineage: Banana Kush/Bubblegum
Super Glue,Flower,,AFTER HOURS,,,,House of Cultivar,11:01,17,1,G,55,3.5,G,210,14,G,,,,,,,,,,Sweet caramel and pine aromas. Lineage: Hybrid of Northern Lights and Afghani.
Gorilla Glue #4,Flower,,ADVENTUROUS,,,,Kiona,13:01,10,1,G,38,3.5,G,99,14,G,195,28,G,,,,,,,"GG4 was developed by GG strains and is a indica hybrid. Resin covered buds provide a pungent, earthy sour flavor. Lineage: chem Sisters/ Sour dubb/ Chocolate diesel"
Guava,Flower,,ADVENTUROUS,,,,House of Cultivar,16:01,55,3.5,G,350,28,G,,,,,,,,,,,,,Smells of it's name with a pleasant and balanced effect. Lineage: Unknown
Grape Diesel,Flower,,ADVENTUROUS,,,,Gold Leaf,21:01,60,3.5,G,,,,,,,,,,,,,,,,A truly unique strain with a 25:75 Indica/Sativa ratio. Bitter but with a scent of citrus undertones. Lineage: Unknown
OGKB #4,Flower,,ADVENTUROUS,,,,House of Cultivar,24:01:00,17,1,G,58,3.5,G,105,7,G,200,14,G,,,,,,,Earthy aroma overlay with citrus and gas. Lineage: Girls Scout/Unknown
